employee_scd_id,employee_id,year,status,country,department,last_promotion_date,last_training_date,absenteeism_days,annual_salary,remote_days,last_promotion_range,age_group
202300042,42,2023,Non-manager,Spain,Technology & IT Strategy,,2022-11-14,9,36600,72,Not available,Under 30
202300043,43,2023,Non-manager,Sweden,Digital Strategy Consulting,2022-09-10,2023-11-11,4,35300,80,1–2 years,Under 30
202300044,44,2023,Non-manager,Sweden,Transformation & Change Management,2021-09-21,2023-10-28,6,41900,121,1–2 years,30–39
202300045,45,2023,Non-manager,Denmark,Finance & Operations,2022-09-09,,4,56700,126,1–2 years,30–39
202300046,46,2023,Non-manager,Germany,Technology & IT Strategy,2022-11-28,2021-07-22,7,43600,117,1–2 years,30–39
202300047,47,2023,Non-manager,Sweden,Transformation & Change Management,,2022-01-21,4,78100,125,Not available,30–39
202300048,48,2023,Non-manager,Germany,Data & Analytics Consulting,,2023-09-14,3,45100,131,Not available,Under 30
202300049,49,2023,Non-manager,Spain,Technology & IT Strategy,2018-01-11,2023-10-26,3,70800,114,3–5 years,40–49
202300050,50,2023,Non-manager,France,Human Resources,2020-08-29,2021-12-22,4,42000,136,3–5 years,30–39
202300051,51,2023,Non-manager,Germany,Digital Strategy Consulting,,2022-07-16,4,33100,127,Not available,Under 30
202300052,52,2023,Manager,Sweden,Technology & IT Strategy,2023-04-09,2023-11-04,6,69800,41,Less than 1 year,30–39
202300053,53,2023,Manager,Sweden,Transformation & Change Management,2023-09-04,,6,75300,99,Less than 1 year,Under 30
202300054,54,2023,Non-manager,Germany,Digital Strategy Consulting,2019-05-28,2021-03-04,2,62200,121,3–5 years,40–49
202300055,55,2023,Non-manager,Sweden,Technology & IT Strategy,,2021-06-18,1,67300,116,Not available,40–49
202300056,56,2023,Manager,Sweden,Human Resources,,,6,99400,130,Not available,40–49
202300057,57,2023,Non-manager,Sweden,Data & Analytics Consulting,,,8,73400,101,Not available,30–39
202300058,58,2023,Non-manager,Denmark,Finance & Operations,2023-03-27,,3,38500,103,Less than 1 year,Under 30
202300059,59,2023,Manager,Germany,Finance & Operations,2022-07-14,,2,66500,100,1–2 years,30–39
202300060,60,2023,Non-manager,Germany,Customer Experience & Design,2023-10-21,,6,38000,115,Less than 1 year,30–39
202300061,61,2023,Non-manager,Sweden,Technology & IT Strategy,2023-10-23,2023-08-17,4,50100,79,Less than 1 year,30–39
202300062,62,2023,Non-manager,Germany,Human Resources,,,4,71000,133,Not available,50–59
202300063,63,2023,Non-manager,Sweden,Finance & Operations,2023-08-18,2023-12-10,5,38200,112,Less than 1 year,30–39
202300064,64,2023,Non-manager,Spain,Data & Analytics Consulting,2023-01-02,,3,30300,94,Less than 1 year,Under 30
202300065,65,2023,Non-manager,Sweden,Data & Analytics Consulting,,2021-04-04,6,105300,146,Not available,50–59
202300066,66,2023,Non-manager,Sweden,Technology & IT Strategy,,2021-07-15,3,61800,149,Not available,30–39
202300067,67,2023,Non-manager,Spain,Technology & IT Strategy,,2023-10-05,2,30600,96,Not available,30–39
202300068,68,2023,Non-manager,Sweden,Finance & Operations,,2021-12-08,8,42000,97,Not available,Under 30
202300069,69,2023,Non-manager,Denmark,Digital Strategy Consulting,2023-02-12,,3,47400,112,Less than 1 year,30–39
202300070,70,2023,Non-manager,France,Sales & Business Development,2023-07-19,2023-12-26,7,50900,111,Less than 1 year,30–39
202300071,71,2023,Non-manager,Spain,Digital Marketing & Growth,2023-07-16,2022-11-07,4,31400,123,Less than 1 year,30–39
202300072,72,2023,Non-manager,France,Sales & Business Development,2023-08-20,,8,37000,133,Less than 1 year,Under 30
202300073,73,2023,Manager,Sweden,Data & Analytics Consulting,2021-10-31,,6,86200,103,1–2 years,40–49
202300074,74,2023,Non-manager,Sweden,Customer Experience & Design,,,3,52500,126,Not available,30–39
202300075,75,2023,Non-manager,Sweden,Finance & Operations,,2023-09-06,5,30600,99,Not available,Under 30
202300076,76,2023,Non-manager,Denmark,Transformation & Change Management,,2022-06-30,7,55800,116,Not available,30–39
202300077,77,2023,Non-manager,Germany,Cybersecurity & Digital Risk,,2022-01-25,6,56700,126,Not available,Under 30
202300078,78,2023,Manager,Sweden,Digital Strategy Consulting,,,11,62900,106,Not available,Under 30
202300079,79,2023,Non-manager,Spain,Sales & Business Development,,,7,33100,132,Not available,30–39
202300080,80,2023,Manager,France,Cybersecurity & Digital Risk,,2022-10-07,4,111800,126,Not available,30–39
202300081,81,2023,Non-manager,France,Finance & Operations,,,9,49300,123,Not available,30–39
202300082,82,2023,Manager,Sweden,Finance & Operations,2022-04-11,2023-07-13,1,87800,112,1–2 years,30–39
202300083,83,2023,Non-manager,Germany,Digital Strategy Consulting,,,3,82200,103,Not available,40–49
202300084,84,2023,Non-manager,Spain,Data & Analytics Consulting,2021-10-17,2021-05-10,7,30500,117,1–2 years,40–49
202300085,85,2023,Non-manager,Spain,Digital Strategy Consulting,2023-11-18,2023-08-11,4,28000,102,Less than 1 year,Under 30
202300086,86,2023,Non-manager,Spain,Technology & IT Strategy,2019-03-29,2022-02-12,5,47100,112,3–5 years,30–39
202300087,87,2023,Non-manager,Spain,Finance & Operations,,2023-04-02,6,69800,120,Not available,60 and above
202300088,88,2023,Manager,Sweden,Digital Marketing & Growth,2023-11-07,2023-09-18,7,60700,116,Less than 1 year,30–39
202300089,89,2023,Manager,Sweden,Digital Strategy Consulting,2023-11-01,2023-11-28,3,69400,108,Less than 1 year,Under 30
202300090,90,2023,Non-manager,Germany,Human Resources,,2023-09-10,4,71100,109,Not available,40–49
202300091,91,2023,Manager,Spain,Finance & Operations,2023-02-17,2022-03-18,3,69200,114,Less than 1 year,Under 30
202300092,92,2023,Manager,France,Sales & Business Development,2018-10-25,2022-09-01,4,130100,113,3–5 years,40–49
202300093,93,2023,Non-manager,Sweden,Digital Strategy Consulting,,2022-12-18,7,53400,134,Not available,30–39
202300094,94,2023,Non-manager,Denmark,Cybersecurity & Digital Risk,2022-05-14,2022-02-25,8,80900,112,1–2 years,30–39
202300095,95,2023,Non-manager,Sweden,Customer Experience & Design,,2021-11-18,8,55800,100,Not available,30–39
202300096,96,2023,Non-manager,Denmark,Technology & IT Strategy,2016-06-05,,4,105100,93,6–10 years,40–49
202300097,97,2023,Non-manager,Sweden,Cybersecurity & Digital Risk,2020-07-23,2022-11-04,7,74300,134,3–5 years,30–39
202300098,98,2023,Non-manager,Denmark,Digital Marketing & Growth,2020-03-02,2023-03-12,7,69000,90,3–5 years,30–39
202300099,99,2023,Non-manager,Sweden,Digital Strategy Consulting,,2022-08-06,5,75200,111,Not available,30–39
202300100,100,2023,Non-manager,Sweden,Digital Strategy Consulting,2023-11-21,2023-07-03,5,39000,133,Less than 1 year,30–39
202300101,101,2023,Non-manager,Sweden,Digital Strategy Consulting,2020-07-18,2023-10-20,12,57000,126,3–5 years,30–39
202300102,102,2023,Manager,Spain,Finance & Operations,,,5,82500,127,Not available,Under 30
202300103,103,2023,Non-manager,Sweden,Human Resources,,2023-01-01,5,52700,111,Not available,Under 30
202300104,104,2023,Manager,Sweden,Data & Analytics Consulting,2023-10-17,2023-08-18,5,78100,88,Less than 1 year,Under 30
202300105,105,2023,Manager,Sweden,Sales & Business Development,2022-10-02,2021-09-21,6,79900,114,1–2 years,30–39
202300106,106,2023,Manager,Denmark,Sales & Business Development,2022-03-25,2023-09-15,6,117900,95,1–2 years,30–39
202300107,107,2023,Non-manager,France,Finance & Operations,2021-06-16,,4,54600,127,1–2 years,40–49
202300108,108,2023,Non-manager,Spain,Data & Analytics Consulting,,2023-01-12,3,28000,138,Not available,30–39
202300109,109,2023,Non-manager,Denmark,Technology & IT Strategy,2021-10-15,2022-12-30,6,65300,97,1–2 years,Under 30
202300110,110,2023,Non-manager,Sweden,Data & Analytics Consulting,2021-01-06,2021-09-26,6,73300,112,1–2 years,30–39
202300111,111,2023,Non-manager,Sweden,Data & Analytics Consulting,,2023-05-04,9,30000,125,Not available,Under 30
202300112,112,2023,Manager,Sweden,Digital Marketing & Growth,2021-05-11,2023-06-26,9,90200,87,1–2 years,30–39
202300113,113,2023,Non-manager,Sweden,Cybersecurity & Digital Risk,2021-08-28,2022-12-19,5,54200,96,1–2 years,30–39
202300114,114,2023,Non-manager,France,Technology & IT Strategy,2023-08-21,2022-03-10,3,45100,133,Less than 1 year,Under 30
202300115,115,2023,Non-manager,Spain,Digital Marketing & Growth,,2022-02-14,8,32000,57,Not available,30–39
202300116,116,2023,Non-manager,Sweden,Sales & Business Development,2023-01-09,2023-11-23,5,63500,117,Less than 1 year,30–39
202300117,117,2023,Manager,Sweden,Human Resources,2019-04-11,2023-01-08,6,102700,99,3–5 years,30–39
202300118,118,2023,Manager,Sweden,Sales & Business Development,2022-02-07,2021-09-18,4,79700,94,1–2 years,30–39
202300119,119,2023,Manager,Sweden,Data & Analytics Consulting,,2021-03-13,7,170500,73,Not available,40–49
202300120,120,2023,Non-manager,Germany,Customer Experience & Design,,,8,46600,106,Not available,30–39
202300121,121,2023,Non-manager,Sweden,Technology & IT Strategy,2023-05-12,2021-06-04,5,54900,120,Less than 1 year,30–39
202300122,122,2023,Non-manager,Sweden,Customer Experience & Design,2022-12-04,2023-04-09,3,45400,136,1–2 years,Under 30
202300123,123,2023,Non-manager,Denmark,Data & Analytics Consulting,,2021-01-29,3,68500,128,Not available,30–39
202300124,124,2023,Non-manager,France,Transformation & Change Management,,,2,60800,99,Not available,30–39
202300125,125,2023,Non-manager,Sweden,Digital Strategy Consulting,,2023-07-03,6,51100,130,Not available,Under 30
202300126,126,2023,Manager,Germany,Digital Strategy Consulting,2023-11-11,2023-08-26,2,69400,132,Less than 1 year,Under 30
202300127,127,2023,Non-manager,Germany,Cybersecurity & Digital Risk,2023-01-31,2022-12-28,8,48500,129,Less than 1 year,30–39
202300128,128,2023,Non-manager,France,Technology & IT Strategy,,,4,77600,136,Not available,40–49
202300129,129,2023,Manager,Spain,Data & Analytics Consulting,,,2,68500,99,Not available,30–39
202300130,130,2023,Non-manager,Sweden,Digital Strategy Consulting,2020-11-02,2023-07-24,7,61500,92,3–5 years,Under 30
202300131,131,2023,Non-manager,France,Sales & Business Development,,2021-09-15,6,53900,95,Not available,30–39
202300132,132,2023,Non-manager,Sweden,Technology & IT Strategy,2023-11-06,2022-12-21,8,66000,153,Less than 1 year,30–39
202300133,133,2023,Non-manager,Sweden,Data & Analytics Consulting,,2021-03-20,4,63900,125,Not available,Under 30
202300134,134,2023,Non-manager,France,Transformation & Change Management,2023-08-25,2022-08-08,13,56900,146,Less than 1 year,40–49
202300135,135,2023,Non-manager,Sweden,Technology & IT Strategy,2020-12-24,2022-03-26,3,50000,120,3–5 years,30–39
202300136,136,2023,Manager,Sweden,Customer Experience & Design,2020-06-12,2021-07-22,6,108300,81,3–5 years,30–39
202300137,137,2023,Manager,Germany,Customer Experience & Design,2022-12-19,2023-04-24,7,73500,101,1–2 years,Under 30
202300138,138,2023,Manager,Sweden,Finance & Operations,,2022-01-19,3,117800,124,Not available,50–59
202300139,139,2023,Manager,Denmark,Digital Marketing & Growth,,2023-01-16,9,86800,101,Not available,30–39
202300140,140,2023,Non-manager,France,Digital Strategy Consulting,2023-05-11,2023-10-06,5,32100,117,Less than 1 year,Under 30
202300141,141,2023,Non-manager,Spain,Finance & Operations,2023-12-03,2023-05-22,7,28000,119,Less than 1 year,Under 30
202300142,142,2023,Manager,Sweden,Technology & IT Strategy,2022-07-04,2022-07-27,6,70000,99,1–2 years,Under 30
202300143,143,2023,Non-manager,Sweden,Transformation & Change Management,,,5,92100,81,Not available,50–59
202300144,144,2023,Manager,Sweden,Customer Experience & Design,,,5,169300,99,Not available,50–59
202300145,145,2023,Non-manager,Spain,Digital Marketing & Growth,2022-10-13,2022-09-10,7,28000,94,1–2 years,Under 30
202300146,146,2023,Manager,Sweden,Digital Strategy Consulting,2020-02-29,2021-01-30,2,89800,115,3–5 years,30–39
202300147,147,2023,Non-manager,Sweden,Sales & Business Development,,2023-06-25,7,48400,113,Not available,30–39
202300148,148,2023,Non-manager,Denmark,Technology & IT Strategy,2022-12-08,,8,60700,95,1–2 years,Under 30
202300149,149,2023,Non-manager,Spain,Digital Strategy Consulting,,2022-12-01,2,69500,119,Not available,40–49
202300150,150,2023,Manager,Sweden,Sales & Business Development,,2022-02-27,6,134900,97,Not available,50–59
202300151,151,2023,Non-manager,France,Data & Analytics Consulting,,2021-07-15,1,85900,131,Not available,40–49
202300152,152,2023,Manager,Denmark,Digital Marketing & Growth,,2022-11-01,6,88600,88,Not available,Under 30
202300153,153,2023,Manager,Sweden,Transformation & Change Management,2022-07-08,2023-06-12,2,84600,99,1–2 years,Under 30
202300154,154,2023,Manager,Denmark,Transformation & Change Management,,2023-02-05,3,79100,124,Not available,Under 30
202300155,155,2023,Non-manager,Germany,Digital Strategy Consulting,,2023-11-02,3,42900,105,Not available,30–39
202300156,156,2023,Manager,Denmark,Digital Strategy Consulting,2017-05-24,2021-05-13,6,138400,120,6–10 years,30–39
202300157,157,2023,Non-manager,Spain,Data & Analytics Consulting,,2022-04-04,5,54800,119,Not available,40–49
202300158,158,2023,Non-manager,Sweden,Finance & Operations,2023-12-22,,3,38800,110,Less than 1 year,30–39
202300159,159,2023,Non-manager,Denmark,Digital Marketing & Growth,,2023-02-07,7,60400,109,Not available,30–39
202300160,160,2023,Non-manager,Sweden,Digital Strategy Consulting,2019-04-28,2021-08-09,3,56500,89,3–5 years,30–39
202300161,161,2023,Manager,Sweden,Data & Analytics Consulting,2023-04-25,2021-04-28,3,77900,133,Less than 1 year,30–39
202300162,162,2023,Manager,Denmark,Transformation & Change Management,,2023-07-17,5,146600,100,Not available,40–49
202300163,163,2023,Non-manager,France,Digital Strategy Consulting,2023-07-21,2023-08-23,3,39100,102,Less than 1 year,Under 30
202300164,164,2023,Non-manager,Sweden,Transformation & Change Management,,2022-04-20,9,38700,143,Not available,30–39
202300165,165,2023,Manager,Sweden,Sales & Business Development,,2021-12-05,1,134400,110,Not available,30–39
202300166,166,2023,Manager,Sweden,Human Resources,2023-03-19,,4,128500,129,Less than 1 year,40–49
202300167,167,2023,Non-manager,Spain,Customer Experience & Design,2023-03-12,,6,30600,132,Less than 1 year,30–39
202300168,168,2023,Manager,Sweden,Data & Analytics Consulting,2021-07-30,,12,98900,79,1–2 years,30–39
202300169,169,2023,Non-manager,Sweden,Customer Experience & Design,2022-11-27,2022-09-16,2,41500,122,1–2 years,Under 30
202300170,170,2023,Non-manager,Sweden,Human Resources,2023-02-14,2023-09-23,7,39000,85,Less than 1 year,Under 30
202300171,171,2023,Manager,Sweden,Sales & Business Development,,,4,140000,119,Not available,60 and above
202300172,172,2023,Manager,Spain,Data & Analytics Consulting,2021-01-09,2021-04-16,2,54500,110,1–2 years,Under 30
202300173,173,2023,Manager,Spain,Human Resources,2021-12-23,,4,75200,110,1–2 years,30–39
202300174,174,2023,Non-manager,Germany,Human Resources,2021-11-13,2021-07-16,3,45200,92,1–2 years,Under 30
202300175,175,2023,Non-manager,Sweden,Data & Analytics Consulting,2022-06-20,2023-11-03,4,60900,143,1–2 years,40–49
202300176,176,2023,Non-manager,Sweden,Digital Strategy Consulting,,,4,94600,115,Not available,40–49
202300177,177,2023,Non-manager,Sweden,Digital Strategy Consulting,,2023-08-28,5,35800,108,Not available,Under 30
202300178,178,2023,Non-manager,Denmark,Sales & Business Development,2020-12-08,2021-07-16,6,58500,101,3–5 years,30–39
202300179,179,2023,Manager,Sweden,Customer Experience & Design,2023-06-06,2023-11-16,6,100000,120,Less than 1 year,Under 30
202300180,180,2023,Non-manager,Spain,Cybersecurity & Digital Risk,,,5,38800,141,Not available,30–39
202300181,181,2023,Non-manager,Spain,Data & Analytics Consulting,2022-01-09,2021-03-08,5,35800,93,1–2 years,Under 30
202300182,182,2023,Non-manager,Denmark,Finance & Operations,2021-11-27,2023-01-11,7,60000,162,1–2 years,30–39
202300183,183,2023,Manager,Sweden,Finance & Operations,,2021-01-07,4,137000,109,Not available,40–49
202300184,184,2023,Non-manager,Spain,Finance & Operations,2023-09-20,2023-01-13,4,45600,123,Less than 1 year,40–49
202300185,185,2023,Non-manager,Sweden,Data & Analytics Consulting,,,5,86600,90,Not available,50–59
202300186,186,2023,Non-manager,Denmark,Digital Strategy Consulting,2019-12-21,2022-06-20,3,70400,109,3–5 years,30–39
202300187,187,2023,Non-manager,Sweden,Finance & Operations,2022-08-24,2022-01-27,6,49500,112,1–2 years,30–39
202300188,188,2023,Manager,France,Human Resources,2023-01-02,,1,57000,108,Less than 1 year,30–39
202300189,189,2023,Non-manager,Spain,Finance & Operations,2021-08-07,,7,34800,109,1–2 years,30–39
202300190,190,2023,Non-manager,Denmark,Finance & Operations,,2023-12-22,5,33700,73,Not available,30–39
202300191,191,2023,Non-manager,Sweden,Data & Analytics Consulting,2022-02-12,2022-04-06,5,38000,91,1–2 years,Under 30
202300192,192,2023,Manager,Spain,Sales & Business Development,,2022-09-26,2,79800,138,Not available,30–39
202300193,193,2023,Manager,Sweden,Digital Strategy Consulting,2023-01-24,2023-05-10,1,99100,123,Less than 1 year,30–39
202300194,194,2023,Non-manager,Germany,Transformation & Change Management,,,2,82900,117,Not available,50–59
202300195,195,2023,Manager,Denmark,Customer Experience & Design,,2022-02-01,3,163800,97,Not available,50–59
202300196,196,2023,Non-manager,Spain,Data & Analytics Consulting,2020-10-05,2021-03-23,7,38600,112,3–5 years,30–39
202300197,197,2023,Non-manager,Germany,Finance & Operations,2023-03-02,2022-07-04,3,44100,86,Less than 1 year,30–39
202300198,198,2023,Non-manager,France,Digital Marketing & Growth,,2022-07-31,9,48100,128,Not available,40–49
202300199,199,2023,Non-manager,Spain,Finance & Operations,,2022-05-11,3,30800,101,Not available,30–39
202300200,200,2023,Manager,Germany,Cybersecurity & Digital Risk,,2022-06-14,2,95100,82,Not available,30–39
202300201,201,2023,Non-manager,France,Sales & Business Development,2022-01-14,2022-02-28,1,44400,120,1–2 years,Under 30
202300202,202,2023,Non-manager,Sweden,Digital Strategy Consulting,,2023-11-10,7,30000,136,Not available,Under 30
202300203,203,2023,Manager,Spain,Transformation & Change Management,2022-02-25,,5,54700,100,1–2 years,Under 30
202300204,204,2023,Non-manager,Denmark,Digital Marketing & Growth,2020-07-03,,8,73200,116,3–5 years,30–39
202300205,205,2023,Non-manager,Spain,Technology & IT Strategy,2020-07-23,2022-10-29,8,44600,125,3–5 years,40–49
202300206,206,2023,Non-manager,Sweden,Customer Experience & Design,2023-06-02,2023-03-26,4,39700,100,Less than 1 year,Under 30
202300207,207,2023,Non-manager,Germany,Data & Analytics Consulting,,2023-12-18,6,30000,72,Not available,Under 30
202300208,208,2023,Manager,Sweden,Data & Analytics Consulting,,2022-09-17,1,83300,78,Not available,30–39
202300209,209,2023,Non-manager,Sweden,Transformation & Change Management,,,3,41900,129,Not available,Under 30
202300210,210,2023,Manager,Germany,Digital Marketing & Growth,,2023-09-19,4,69300,112,Not available,Under 30
202300211,211,2023,Non-manager,Germany,Transformation & Change Management,,2021-04-07,2,48400,125,Not available,30–39
202300212,212,2023,Non-manager,Sweden,Digital Strategy Consulting,2022-06-21,,10,42600,109,1–2 years,30–39
202300213,213,2023,Non-manager,Germany,Technology & IT Strategy,,2022-08-21,1,48100,123,Not available,30–39
202300214,214,2023,Non-manager,Sweden,Digital Marketing & Growth,2023-02-25,2023-06-29,3,44800,114,Less than 1 year,30–39
202300215,215,2023,Non-manager,Sweden,Cybersecurity & Digital Risk,,2023-10-27,10,41000,143,Not available,Under 30
202300216,216,2023,Non-manager,France,Sales & Business Development,,2023-09-19,5,49600,117,Not available,40–49
202300217,217,2023,Manager,Spain,Data & Analytics Consulting,,2021-10-15,1,70800,94,Not available,Under 30
202300218,218,2023,Non-manager,Denmark,Data & Analytics Consulting,,2023-08-04,5,54500,133,Not available,Under 30
202300219,219,2023,Non-manager,Sweden,Digital Marketing & Growth,,2021-01-18,3,57500,114,Not available,40–49
202300220,220,2023,Non-manager,Spain,Sales & Business Development,,2021-08-13,4,53900,116,Not available,30–39
202300221,221,2023,Non-manager,Sweden,Transformation & Change Management,,2022-08-30,6,58300,115,Not available,30–39
202300222,222,2023,Non-manager,Sweden,Sales & Business Development,2023-08-30,2023-04-13,3,43500,82,Less than 1 year,Under 30
202300223,223,2023,Non-manager,France,Digital Strategy Consulting,,2023-10-22,3,55600,122,Not available,30–39
202300224,224,2023,Non-manager,Denmark,Customer Experience & Design,2023-09-18,,4,52000,158,Less than 1 year,Under 30
202300225,225,2023,Manager,Sweden,Human Resources,2020-04-22,2023-08-06,7,92800,126,3–5 years,50–59
202300226,226,2023,Non-manager,Sweden,Transformation & Change Management,,2022-02-03,3,43100,132,Not available,Under 30
202300227,227,2023,Non-manager,Sweden,Data & Analytics Consulting,,2021-05-27,6,58400,109,Not available,30–39
202300228,228,2023,Non-manager,Spain,Finance & Operations,2023-03-23,2023-08-23,2,28800,138,Less than 1 year,30–39
202300229,229,2023,Non-manager,Sweden,Data & Analytics Consulting,,2023-08-14,5,56600,109,Not available,30–39
202300230,230,2023,Manager,Sweden,Sales & Business Development,,2023-10-21,8,64600,89,Not available,Under 30
202300231,231,2023,Non-manager,Germany,Sales & Business Development,,2022-09-28,4,43700,129,Not available,Under 30
202300232,232,2023,Non-manager,Spain,Technology & IT Strategy,2023-06-02,,5,28000,101,Less than 1 year,Under 30
202300233,233,2023,Manager,Germany,Transformation & Change Management,2023-07-15,2023-10-11,6,68500,104,Less than 1 year,40–49
202300234,234,2023,Non-manager,Sweden,Finance & Operations,2023-07-18,,9,41800,70,Less than 1 year,30–39
202300235,235,2023,Manager,Sweden,Transformation & Change Management,,,6,71600,96,Not available,Under 30
202300236,236,2023,Manager,Sweden,Cybersecurity & Digital Risk,,2021-12-03,6,134700,92,Not available,40–49
202300237,237,2023,Manager,Sweden,Sales & Business Development,2021-12-27,2021-04-09,2,87200,70,1–2 years,Under 30
202300238,238,2023,Non-manager,Sweden,Cybersecurity & Digital Risk,2023-05-10,2022-10-29,3,42900,134,Less than 1 year,30–39
202300239,239,2023,Non-manager,Spain,Sales & Business Development,2021-09-13,,10,53800,134,1–2 years,30–39
202300240,240,2023,Non-manager,Sweden,Technology & IT Strategy,2022-06-26,2021-09-03,5,61500,108,1–2 years,Under 30
202300241,241,2023,Non-manager,Denmark,Digital Marketing & Growth,2022-01-04,2023-08-20,4,64800,101,1–2 years,30–39
202300242,242,2023,Non-manager,Germany,Human Resources,,2023-05-08,4,78200,119,Not available,30–39
202300243,243,2023,Manager,Sweden,Data & Analytics Consulting,,2023-01-12,6,76100,88,Not available,Under 30
202300244,244,2023,Manager,Sweden,Data & Analytics Consulting,,2023-12-30,6,65100,101,Not available,Under 30
202300245,245,2023,Non-manager,Sweden,Digital Strategy Consulting,2019-12-13,2022-06-28,4,64100,94,3–5 years,40–49
202300246,246,2023,Manager,Sweden,Technology & IT Strategy,2023-10-21,2023-08-06,8,68800,66,Less than 1 year,30–39
202300247,247,2023,Non-manager,Germany,Finance & Operations,,2023-12-17,5,30000,115,Not available,Under 30
