"employee_scd_id";"employee_id";"year";"status";"country";"department";"date_situation";"seniority_group"
202300056;56;2023;"Manager";"Sweden";"Human Resources";"2023-12-15";"3-5 years"
202300057;57;2023;"Non-manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"6-9 years"
202300058;58;2023;"Non-manager";"Denmark";"Finance & Operations";"2023-12-15";"1-2 years"
202300059;59;2023;"Manager";"Germany";"Finance & Operations";"2023-12-15";"1-2 years"
202300060;60;2023;"Non-manager";"Germany";"Customer Experience & Design";"2023-12-15";"1-2 years"
202300061;61;2023;"Non-manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"1-2 years"
202300062;62;2023;"Non-manager";"Germany";"Human Resources";"2023-12-15";"6-9 years"
202300063;63;2023;"Non-manager";"Sweden";"Finance & Operations";"2023-12-15";"1-2 years"
202300064;64;2023;"Non-manager";"Spain";"Data & Analytics Consulting";"2023-12-15";"1-2 years"
202300065;65;2023;"Non-manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"10-15 years"
202300066;66;2023;"Non-manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"3-5 years"
202300067;67;2023;"Non-manager";"Spain";"Technology & IT Strategy";"2023-12-15";"Less than 1 year"
202300068;68;2023;"Non-manager";"Sweden";"Finance & Operations";"2023-12-15";"1-2 years"
202300069;69;2023;"Non-manager";"Denmark";"Digital Strategy Consulting";"2023-12-15";"1-2 years"
202300070;70;2023;"Non-manager";"France";"Sales & Business Development";"2023-12-15";"1-2 years"
202300071;71;2023;"Non-manager";"Spain";"Digital Marketing & Growth";"2023-12-15";"1-2 years"
202300072;72;2023;"Non-manager";"France";"Sales & Business Development";"2023-12-15";"Less than 1 year"
202300073;73;2023;"Manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300074;74;2023;"Non-manager";"Sweden";"Customer Experience & Design";"2023-12-15";"3-5 years"
202300075;75;2023;"Non-manager";"Sweden";"Finance & Operations";"2023-12-15";"Less than 1 year"
202300076;76;2023;"Non-manager";"Denmark";"Transformation & Change Management";"2023-12-15";"3-5 years"
202300077;77;2023;"Non-manager";"Germany";"Cybersecurity & Digital Risk";"2023-12-15";"3-5 years"
202300078;78;2023;"Manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"Less than 1 year"
202300079;79;2023;"Non-manager";"Spain";"Sales & Business Development";"2023-12-15";"1-2 years"
202300080;80;2023;"Manager";"France";"Cybersecurity & Digital Risk";"2023-12-15";"10-15 years"
202300081;81;2023;"Non-manager";"France";"Finance & Operations";"2023-12-15";"1-2 years"
202300082;82;2023;"Manager";"Sweden";"Finance & Operations";"2023-12-15";"3-5 years"
202300083;83;2023;"Non-manager";"Germany";"Digital Strategy Consulting";"2023-12-15";"10-15 years"
202300084;84;2023;"Non-manager";"Spain";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300085;85;2023;"Non-manager";"Spain";"Digital Strategy Consulting";"2023-12-15";"1-2 years"
202300086;86;2023;"Non-manager";"Spain";"Technology & IT Strategy";"2023-12-15";"3-5 years"
202300087;87;2023;"Non-manager";"Spain";"Finance & Operations";"2023-12-15";"10-15 years"
202300088;88;2023;"Manager";"Sweden";"Digital Marketing & Growth";"2023-12-15";"Less than 1 year"
202300089;89;2023;"Manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"Less than 1 year"
202300090;90;2023;"Non-manager";"Germany";"Human Resources";"2023-12-15";"10-15 years"
202300091;91;2023;"Manager";"Spain";"Finance & Operations";"2023-12-15";"3-5 years"
202300092;92;2023;"Manager";"France";"Sales & Business Development";"2023-12-15";"10-15 years"
202300093;93;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"3-5 years"
202300094;94;2023;"Non-manager";"Denmark";"Cybersecurity & Digital Risk";"2023-12-15";"3-5 years"
202300095;95;2023;"Non-manager";"Sweden";"Customer Experience & Design";"2023-12-15";"3-5 years"
202300096;96;2023;"Non-manager";"Denmark";"Technology & IT Strategy";"2023-12-15";"10-15 years"
202300097;97;2023;"Non-manager";"Sweden";"Cybersecurity & Digital Risk";"2023-12-15";"3-5 years"
202300098;98;2023;"Non-manager";"Denmark";"Digital Marketing & Growth";"2023-12-15";"3-5 years"
202300099;99;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"10-15 years"
202300100;100;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"Less than 1 year"
202300101;101;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"3-5 years"
202300102;102;2023;"Manager";"Spain";"Finance & Operations";"2023-12-15";"6-9 years"
202300103;103;2023;"Non-manager";"Sweden";"Human Resources";"2023-12-15";"3-5 years"
202300104;104;2023;"Manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"1-2 years"
202300105;105;2023;"Manager";"Sweden";"Sales & Business Development";"2023-12-15";"1-2 years"
202300106;106;2023;"Manager";"Denmark";"Sales & Business Development";"2023-12-15";"3-5 years"
202300107;107;2023;"Non-manager";"France";"Finance & Operations";"2023-12-15";"3-5 years"
202300108;108;2023;"Non-manager";"Spain";"Data & Analytics Consulting";"2023-12-15";"1-2 years"
202300109;109;2023;"Non-manager";"Denmark";"Technology & IT Strategy";"2023-12-15";"1-2 years"
202300110;110;2023;"Non-manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300111;111;2023;"Non-manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"Less than 1 year"
202300112;112;2023;"Manager";"Sweden";"Digital Marketing & Growth";"2023-12-15";"3-5 years"
202300113;113;2023;"Non-manager";"Sweden";"Cybersecurity & Digital Risk";"2023-12-15";"1-2 years"
202300114;114;2023;"Non-manager";"France";"Technology & IT Strategy";"2023-12-15";"3-5 years"
202300115;115;2023;"Non-manager";"Spain";"Digital Marketing & Growth";"2023-12-15";"1-2 years"
202300116;116;2023;"Non-manager";"Sweden";"Sales & Business Development";"2023-12-15";"3-5 years"
202300117;117;2023;"Manager";"Sweden";"Human Resources";"2023-12-15";"6-9 years"
202300118;118;2023;"Manager";"Sweden";"Sales & Business Development";"2023-12-15";"3-5 years"
202300119;119;2023;"Manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"15+ years"
202300120;120;2023;"Non-manager";"Germany";"Customer Experience & Design";"2023-12-15";"3-5 years"
202300121;121;2023;"Non-manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"3-5 years"
202300122;122;2023;"Non-manager";"Sweden";"Customer Experience & Design";"2023-12-15";"1-2 years"
202300123;123;2023;"Non-manager";"Denmark";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300124;124;2023;"Non-manager";"France";"Transformation & Change Management";"2023-12-15";"6-9 years"
202300125;125;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"3-5 years"
202300126;126;2023;"Manager";"Germany";"Digital Strategy Consulting";"2023-12-15";"1-2 years"
202300127;127;2023;"Non-manager";"Germany";"Cybersecurity & Digital Risk";"2023-12-15";"1-2 years"
202300128;128;2023;"Non-manager";"France";"Technology & IT Strategy";"2023-12-15";"10-15 years"
202300129;129;2023;"Manager";"Spain";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300130;130;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"3-5 years"
202300131;131;2023;"Non-manager";"France";"Sales & Business Development";"2023-12-15";"3-5 years"
202300132;132;2023;"Non-manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"3-5 years"
202300133;133;2023;"Non-manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300134;134;2023;"Non-manager";"France";"Transformation & Change Management";"2023-12-15";"3-5 years"
202300135;135;2023;"Non-manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"3-5 years"
202300136;136;2023;"Manager";"Sweden";"Customer Experience & Design";"2023-12-15";"6-9 years"
202300137;137;2023;"Manager";"Germany";"Customer Experience & Design";"2023-12-15";"1-2 years"
202300138;138;2023;"Manager";"Sweden";"Finance & Operations";"2023-12-15";"6-9 years"
202300139;139;2023;"Manager";"Denmark";"Digital Marketing & Growth";"2023-12-15";"1-2 years"
202300140;140;2023;"Non-manager";"France";"Digital Strategy Consulting";"2023-12-15";"Less than 1 year"
202300141;141;2023;"Non-manager";"Spain";"Finance & Operations";"2023-12-15";"Less than 1 year"
202300142;142;2023;"Manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"1-2 years"
202300143;143;2023;"Non-manager";"Sweden";"Transformation & Change Management";"2023-12-15";"10-15 years"
202300144;144;2023;"Manager";"Sweden";"Customer Experience & Design";"2023-12-15";"10-15 years"
202300145;145;2023;"Non-manager";"Spain";"Digital Marketing & Growth";"2023-12-15";"1-2 years"
202300146;146;2023;"Manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"3-5 years"
202300147;147;2023;"Non-manager";"Sweden";"Sales & Business Development";"2023-12-15";"1-2 years"
202300148;148;2023;"Non-manager";"Denmark";"Technology & IT Strategy";"2023-12-15";"3-5 years"
202300149;149;2023;"Non-manager";"Spain";"Digital Strategy Consulting";"2023-12-15";"15+ years"
202300150;150;2023;"Manager";"Sweden";"Sales & Business Development";"2023-12-15";"10-15 years"
202300151;151;2023;"Non-manager";"France";"Data & Analytics Consulting";"2023-12-15";"10-15 years"
202300152;152;2023;"Manager";"Denmark";"Digital Marketing & Growth";"2023-12-15";"1-2 years"
202300153;153;2023;"Manager";"Sweden";"Transformation & Change Management";"2023-12-15";"1-2 years"
202300154;154;2023;"Manager";"Denmark";"Transformation & Change Management";"2023-12-15";"1-2 years"
202300155;155;2023;"Non-manager";"Germany";"Digital Strategy Consulting";"2023-12-15";"1-2 years"
202300156;156;2023;"Manager";"Denmark";"Digital Strategy Consulting";"2023-12-15";"6-9 years"
202300157;157;2023;"Non-manager";"Spain";"Data & Analytics Consulting";"2023-12-15";"10-15 years"
202300158;158;2023;"Non-manager";"Sweden";"Finance & Operations";"2023-12-15";"Less than 1 year"
202300159;159;2023;"Non-manager";"Denmark";"Digital Marketing & Growth";"2023-12-15";"3-5 years"
202300160;160;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"3-5 years"
202300161;161;2023;"Manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"1-2 years"
202300162;162;2023;"Manager";"Denmark";"Transformation & Change Management";"2023-12-15";"10-15 years"
202300163;163;2023;"Non-manager";"France";"Digital Strategy Consulting";"2023-12-15";"Less than 1 year"
202300164;164;2023;"Non-manager";"Sweden";"Transformation & Change Management";"2023-12-15";"1-2 years"
202300165;165;2023;"Manager";"Sweden";"Sales & Business Development";"2023-12-15";"10-15 years"
202300166;166;2023;"Manager";"Sweden";"Human Resources";"2023-12-15";"10-15 years"
202300167;167;2023;"Non-manager";"Spain";"Customer Experience & Design";"2023-12-15";"1-2 years"
202300168;168;2023;"Manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"6-9 years"
202300169;169;2023;"Non-manager";"Sweden";"Customer Experience & Design";"2023-12-15";"1-2 years"
202300170;170;2023;"Non-manager";"Sweden";"Human Resources";"2023-12-15";"1-2 years"
202300171;171;2023;"Manager";"Sweden";"Sales & Business Development";"2023-12-15";"10-15 years"
202300172;172;2023;"Manager";"Spain";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300173;173;2023;"Manager";"Spain";"Human Resources";"2023-12-15";"3-5 years"
202300174;174;2023;"Non-manager";"Germany";"Human Resources";"2023-12-15";"3-5 years"
202300175;175;2023;"Non-manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300176;176;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"15+ years"
202300177;177;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"Less than 1 year"
202300178;178;2023;"Non-manager";"Denmark";"Sales & Business Development";"2023-12-15";"3-5 years"
202300179;179;2023;"Manager";"Sweden";"Customer Experience & Design";"2023-12-15";"3-5 years"
202300180;180;2023;"Non-manager";"Spain";"Cybersecurity & Digital Risk";"2023-12-15";"Less than 1 year"
202300181;181;2023;"Non-manager";"Spain";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300182;182;2023;"Non-manager";"Denmark";"Finance & Operations";"2023-12-15";"3-5 years"
202300183;183;2023;"Manager";"Sweden";"Finance & Operations";"2023-12-15";"10-15 years"
202300184;184;2023;"Non-manager";"Spain";"Finance & Operations";"2023-12-15";"3-5 years"
202300185;185;2023;"Non-manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"10-15 years"
202300186;186;2023;"Non-manager";"Denmark";"Digital Strategy Consulting";"2023-12-15";"3-5 years"
202300187;187;2023;"Non-manager";"Sweden";"Finance & Operations";"2023-12-15";"3-5 years"
202300188;188;2023;"Manager";"France";"Human Resources";"2023-12-15";"1-2 years"
202300189;189;2023;"Non-manager";"Spain";"Finance & Operations";"2023-12-15";"3-5 years"
202300190;190;2023;"Non-manager";"Denmark";"Finance & Operations";"2023-12-15";"Less than 1 year"
202300191;191;2023;"Non-manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"1-2 years"
202300192;192;2023;"Manager";"Spain";"Sales & Business Development";"2023-12-15";"6-9 years"
202300193;193;2023;"Manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"3-5 years"
202300194;194;2023;"Non-manager";"Germany";"Transformation & Change Management";"2023-12-15";"10-15 years"
202300195;195;2023;"Manager";"Denmark";"Customer Experience & Design";"2023-12-15";"10-15 years"
202300196;196;2023;"Non-manager";"Spain";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300197;197;2023;"Non-manager";"Germany";"Finance & Operations";"2023-12-15";"1-2 years"
202300198;198;2023;"Non-manager";"France";"Digital Marketing & Growth";"2023-12-15";"3-5 years"
202300199;199;2023;"Non-manager";"Spain";"Finance & Operations";"2023-12-15";"1-2 years"
202300200;200;2023;"Manager";"Germany";"Cybersecurity & Digital Risk";"2023-12-15";"3-5 years"
202300201;201;2023;"Non-manager";"France";"Sales & Business Development";"2023-12-15";"1-2 years"
202300202;202;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"Less than 1 year"
202300203;203;2023;"Manager";"Spain";"Transformation & Change Management";"2023-12-15";"1-2 years"
202300204;204;2023;"Non-manager";"Denmark";"Digital Marketing & Growth";"2023-12-15";"3-5 years"
202300205;205;2023;"Non-manager";"Spain";"Technology & IT Strategy";"2023-12-15";"3-5 years"
202300206;206;2023;"Non-manager";"Sweden";"Customer Experience & Design";"2023-12-15";"Less than 1 year"
202300207;207;2023;"Non-manager";"Germany";"Data & Analytics Consulting";"2023-12-15";"Less than 1 year"
202300208;208;2023;"Manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300209;209;2023;"Non-manager";"Sweden";"Transformation & Change Management";"2023-12-15";"Less than 1 year"
202300210;210;2023;"Manager";"Germany";"Digital Marketing & Growth";"2023-12-15";"Less than 1 year"
202300211;211;2023;"Non-manager";"Germany";"Transformation & Change Management";"2023-12-15";"3-5 years"
202300212;212;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"1-2 years"
202300213;213;2023;"Non-manager";"Germany";"Technology & IT Strategy";"2023-12-15";"3-5 years"
202300214;214;2023;"Non-manager";"Sweden";"Digital Marketing & Growth";"2023-12-15";"1-2 years"
202300215;215;2023;"Non-manager";"Sweden";"Cybersecurity & Digital Risk";"2023-12-15";"Less than 1 year"
202300216;216;2023;"Non-manager";"France";"Sales & Business Development";"2023-12-15";"3-5 years"
202300217;217;2023;"Manager";"Spain";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300218;218;2023;"Non-manager";"Denmark";"Data & Analytics Consulting";"2023-12-15";"Less than 1 year"
202300219;219;2023;"Non-manager";"Sweden";"Digital Marketing & Growth";"2023-12-15";"3-5 years"
202300220;220;2023;"Non-manager";"Spain";"Sales & Business Development";"2023-12-15";"3-5 years"
202300221;221;2023;"Non-manager";"Sweden";"Transformation & Change Management";"2023-12-15";"3-5 years"
202300222;222;2023;"Non-manager";"Sweden";"Sales & Business Development";"2023-12-15";"3-5 years"
202300223;223;2023;"Non-manager";"France";"Digital Strategy Consulting";"2023-12-15";"6-9 years"
202300224;224;2023;"Non-manager";"Denmark";"Customer Experience & Design";"2023-12-15";"Less than 1 year"
202300225;225;2023;"Manager";"Sweden";"Human Resources";"2023-12-15";"3-5 years"
202300226;226;2023;"Non-manager";"Sweden";"Transformation & Change Management";"2023-12-15";"1-2 years"
202300227;227;2023;"Non-manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300228;228;2023;"Non-manager";"Spain";"Finance & Operations";"2023-12-15";"1-2 years"
202300229;229;2023;"Non-manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"1-2 years"
202300230;230;2023;"Manager";"Sweden";"Sales & Business Development";"2023-12-15";"Less than 1 year"
202300231;231;2023;"Non-manager";"Germany";"Sales & Business Development";"2023-12-15";"1-2 years"
202300232;232;2023;"Non-manager";"Spain";"Technology & IT Strategy";"2023-12-15";"Less than 1 year"
202300233;233;2023;"Manager";"Germany";"Transformation & Change Management";"2023-12-15";"1-2 years"
202300234;234;2023;"Non-manager";"Sweden";"Finance & Operations";"2023-12-15";"1-2 years"
202300235;235;2023;"Manager";"Sweden";"Transformation & Change Management";"2023-12-15";"1-2 years"
202300236;236;2023;"Manager";"Sweden";"Cybersecurity & Digital Risk";"2023-12-15";"10-15 years"
202300237;237;2023;"Manager";"Sweden";"Sales & Business Development";"2023-12-15";"3-5 years"
202300238;238;2023;"Non-manager";"Sweden";"Cybersecurity & Digital Risk";"2023-12-15";"1-2 years"
202300239;239;2023;"Non-manager";"Spain";"Sales & Business Development";"2023-12-15";"3-5 years"
202300240;240;2023;"Non-manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"3-5 years"
202300241;241;2023;"Non-manager";"Denmark";"Digital Marketing & Growth";"2023-12-15";"1-2 years"
202300242;242;2023;"Non-manager";"Germany";"Human Resources";"2023-12-15";"6-9 years"
202300243;243;2023;"Manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"Less than 1 year"
202300244;244;2023;"Manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"Less than 1 year"
202300245;245;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"3-5 years"
202300246;246;2023;"Manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"Less than 1 year"
202300247;247;2023;"Non-manager";"Germany";"Finance & Operations";"2023-12-15";"Less than 1 year"
202300248;248;2023;"Non-manager";"Sweden";"Customer Experience & Design";"2023-12-15";"Less than 1 year"
202300249;249;2023;"Non-manager";"France";"Digital Strategy Consulting";"2023-12-15";"1-2 years"
202300250;250;2023;"Non-manager";"France";"Transformation & Change Management";"2023-12-15";"6-9 years"
202300251;251;2023;"Manager";"Germany";"Data & Analytics Consulting";"2023-12-15";"1-2 years"
202300252;252;2023;"Manager";"Spain";"Transformation & Change Management";"2023-12-15";"10-15 years"
202300253;253;2023;"Non-manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"10-15 years"
202300254;254;2023;"Non-manager";"Sweden";"Sales & Business Development";"2023-12-15";"1-2 years"
202300255;255;2023;"Non-manager";"France";"Digital Strategy Consulting";"2023-12-15";"1-2 years"
202300256;256;2023;"Manager";"Sweden";"Transformation & Change Management";"2023-12-15";"6-9 years"
202300257;257;2023;"Non-manager";"Denmark";"Cybersecurity & Digital Risk";"2023-12-15";"6-9 years"
202300258;258;2023;"Non-manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"3-5 years"
202300259;259;2023;"Non-manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"Less than 1 year"
202300260;260;2023;"Non-manager";"Sweden";"Human Resources";"2023-12-15";"Less than 1 year"
202300261;261;2023;"Non-manager";"Denmark";"Sales & Business Development";"2023-12-15";"1-2 years"
202300262;262;2023;"Non-manager";"Sweden";"Customer Experience & Design";"2023-12-15";"3-5 years"
202300263;263;2023;"Manager";"Spain";"Human Resources";"2023-12-15";"Less than 1 year"
202300264;264;2023;"Non-manager";"Sweden";"Sales & Business Development";"2023-12-15";"1-2 years"
202300265;265;2023;"Non-manager";"Sweden";"Cybersecurity & Digital Risk";"2023-12-15";"1-2 years"
202300266;266;2023;"Non-manager";"France";"Transformation & Change Management";"2023-12-15";"1-2 years"
202300267;267;2023;"Non-manager";"Germany";"Customer Experience & Design";"2023-12-15";"10-15 years"
202300268;268;2023;"Manager";"France";"Cybersecurity & Digital Risk";"2023-12-15";"6-9 years"
202300269;269;2023;"Non-manager";"Sweden";"Transformation & Change Management";"2023-12-15";"3-5 years"
202300270;270;2023;"Non-manager";"Spain";"Customer Experience & Design";"2023-12-15";"Less than 1 year"
202300271;271;2023;"Non-manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"6-9 years"
202300272;272;2023;"Non-manager";"Germany";"Digital Strategy Consulting";"2023-12-15";"Less than 1 year"
202300273;273;2023;"Non-manager";"Sweden";"Human Resources";"2023-12-15";"10-15 years"
202300274;274;2023;"Manager";"Germany";"Finance & Operations";"2023-12-15";"3-5 years"
202300275;275;2023;"Non-manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"3-5 years"
202300276;276;2023;"Non-manager";"Spain";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300277;277;2023;"Non-manager";"Sweden";"Digital Marketing & Growth";"2023-12-15";"3-5 years"
202300278;278;2023;"Non-manager";"Sweden";"Data & Analytics Consulting";"2023-12-15";"3-5 years"
202300279;279;2023;"Non-manager";"Sweden";"Human Resources";"2023-12-15";"3-5 years"
202300280;280;2023;"Manager";"Spain";"Digital Strategy Consulting";"2023-12-15";"6-9 years"
202300281;281;2023;"Manager";"France";"Cybersecurity & Digital Risk";"2023-12-15";"6-9 years"
202300282;282;2023;"Non-manager";"Sweden";"Human Resources";"2023-12-15";"1-2 years"
202300283;283;2023;"Non-manager";"Sweden";"Digital Marketing & Growth";"2023-12-15";"1-2 years"
202300284;284;2023;"Non-manager";"Sweden";"Technology & IT Strategy";"2023-12-15";"6-9 years"
202300285;285;2023;"Non-manager";"Sweden";"Transformation & Change Management";"2023-12-15";"Less than 1 year"
202300286;286;2023;"Non-manager";"Sweden";"Digital Strategy Consulting";"2023-12-15";"3-5 years"
